time,open,high,low,close,volume,spread,real_volume
2022-07-31 22:05:00+00:00,1765.356,1765.39,1764.823,1764.897,62,200,0
2022-07-31 22:06:00+00:00,1764.896,1764.952,1764.492,1764.721,66,200,0
2022-07-31 22:07:00+00:00,1764.722,1764.945,1764.621,1764.937,45,200,0
2022-07-31 22:08:00+00:00,1764.933,1764.933,1764.531,1764.709,32,200,0
2022-07-31 22:09:00+00:00,1764.71,1765.224,1764.71,1765.142,54,200,0
2022-07-31 22:10:00+00:00,1765.141,1765.143,1764.702,1765.095,66,200,0
2022-07-31 22:11:00+00:00,1765.109,1765.22,1765.086,1765.086,13,200,0
2022-07-31 22:12:00+00:00,1765.081,1765.081,1764.684,1764.985,60,200,0
2022-07-31 22:13:00+00:00,1764.935,1764.935,1764.802,1764.93,24,200,0
2022-07-31 22:14:00+00:00,1764.927,1764.987,1764.871,1764.986,28,200,0
2022-07-31 22:15:00+00:00,1764.964,1765.047,1764.686,1764.762,51,200,0
2022-07-31 22:16:00+00:00,1764.781,1764.784,1764.178,1764.267,81,200,0
2022-07-31 22:17:00+00:00,1764.299,1764.536,1764.149,1764.5,44,200,0
2022-07-31 22:18:00+00:00,1764.485,1764.562,1764.244,1764.294,35,200,0
2022-07-31 22:19:00+00:00,1764.283,1764.551,1764.283,1764.387,30,200,0
2022-07-31 22:20:00+00:00,1764.389,1764.39,1764.338,1764.344,20,200,0
2022-07-31 22:21:00+00:00,1764.371,1764.386,1764.234,1764.262,31,200,0
2022-07-31 22:22:00+00:00,1764.274,1764.333,1764.035,1764.035,32,200,0
2022-07-31 22:23:00+00:00,1764.07,1764.337,1764.07,1764.283,17,200,0
2022-07-31 22:24:00+00:00,1764.276,1764.401,1764.086,1764.297,45,200,0
2022-07-31 22:25:00+00:00,1764.287,1764.581,1764.287,1764.484,23,200,0
2022-07-31 22:26:00+00:00,1764.493,1764.572,1764.292,1764.292,20,200,0
2022-07-31 22:27:00+00:00,1764.294,1764.294,1764.224,1764.243,12,200,0
2022-07-31 22:28:00+00:00,1764.233,1764.236,1763.992,1764.088,32,200,0
2022-07-31 22:29:00+00:00,1764.094,1764.108,1763.968,1764.088,28,200,0
2022-07-31 22:30:00+00:00,1764.063,1764.063,1763.783,1763.884,61,200,0
2022-07-31 22:31:00+00:00,1763.881,1763.885,1763.621,1763.715,42,200,0
2022-07-31 22:32:00+00:00,1763.713,1763.744,1763.562,1763.562,30,200,0
2022-07-31 22:33:00+00:00,1763.561,1763.644,1763.36,1763.588,40,200,0
2022-07-31 22:34:00+00:00,1763.591,1763.704,1763.391,1763.641,43,200,0
2022-07-31 22:35:00+00:00,1763.622,1763.622,1763.292,1763.385,33,200,0
2022-07-31 22:36:00+00:00,1763.384,1763.387,1763.269,1763.363,29,200,0
2022-07-31 22:37:00+00:00,1763.358,1763.682,1763.253,1763.644,44,200,0
2022-07-31 22:38:00+00:00,1763.637,1763.739,1763.634,1763.652,23,200,0
2022-07-31 22:39:00+00:00,1763.654,1763.801,1763.597,1763.597,26,200,0
2022-07-31 22:40:00+00:00,1763.576,1763.976,1763.576,1763.887,52,200,0
2022-07-31 22:41:00+00:00,1763.891,1763.891,1763.582,1763.791,38,200,0
2022-07-31 22:42:00+00:00,1763.792,1763.817,1763.772,1763.817,15,200,0
2022-07-31 22:43:00+00:00,1763.786,1763.786,1763.69,1763.76,20,200,0
2022-07-31 22:44:00+00:00,1763.771,1763.777,1763.683,1763.685,16,200,0
2022-07-31 22:45:00+00:00,1763.677,1763.679,1763.404,1763.421,26,200,0
2022-07-31 22:46:00+00:00,1763.42,1763.457,1763.363,1763.365,12,200,0
2022-07-31 22:47:00+00:00,1763.366,1763.366,1763.171,1763.171,29,200,0
2022-07-31 22:48:00+00:00,1763.115,1763.257,1763.043,1763.257,36,200,0
2022-07-31 22:49:00+00:00,1763.261,1763.272,1763.192,1763.263,18,200,0
2022-07-31 22:50:00+00:00,1763.279,1763.279,1763.119,1763.148,19,200,0
2022-07-31 22:51:00+00:00,1763.168,1763.582,1763.112,1763.488,35,200,0
2022-07-31 22:52:00+00:00,1763.476,1763.476,1763.241,1763.42,39,200,0
2022-07-31 22:53:00+00:00,1763.422,1763.422,1763.183,1763.183,25,200,0
2022-07-31 22:54:00+00:00,1763.175,1763.469,1763.169,1763.461,22,200,0
2022-07-31 22:55:00+00:00,1763.451,1763.451,1763.335,1763.347,17,200,0
