time,open,high,low,close,volume,spread,real_volume
2021-11-30 17:00:00+00:00,1773.664,1773.903,1773.205,1773.671,187,200,0
2021-11-30 17:01:00+00:00,1773.702,1774.181,1772.891,1773.084,207,200,0
2021-11-30 17:02:00+00:00,1773.065,1773.194,1772.45,1772.842,154,200,0
2021-11-30 17:03:00+00:00,1772.843,1772.933,1772.555,1772.679,104,200,0
2021-11-30 17:04:00+00:00,1772.672,1772.878,1772.341,1772.678,139,200,0
2021-11-30 17:05:00+00:00,1772.696,1774.038,1772.599,1773.818,136,200,0
2021-11-30 17:06:00+00:00,1773.788,1773.791,1772.783,1772.783,129,200,0
2021-11-30 17:07:00+00:00,1772.773,1772.777,1771.689,1771.945,197,200,0
2021-11-30 17:08:00+00:00,1771.914,1772.16,1770.63,1772.16,219,200,0
2021-11-30 17:09:00+00:00,1772.129,1773.832,1772.07,1773.752,265,200,0
2021-11-30 17:10:00+00:00,1773.72,1774.481,1773.416,1773.77,165,200,0
2021-11-30 17:11:00+00:00,1773.761,1774.457,1773.414,1774.137,151,200,0
2021-11-30 17:12:00+00:00,1774.152,1774.244,1772.757,1772.757,153,200,0
2021-11-30 17:13:00+00:00,1772.788,1773.619,1772.69,1773.126,151,200,0
2021-11-30 17:14:00+00:00,1773.115,1773.2,1771.673,1772.291,188,200,0
2021-11-30 17:15:00+00:00,1772.285,1772.484,1771.354,1772.019,154,200,0
2021-11-30 17:16:00+00:00,1772.049,1772.226,1771.277,1771.433,149,200,0
2021-11-30 17:17:00+00:00,1771.434,1771.513,1770.991,1771.22,190,200,0
2021-11-30 17:18:00+00:00,1771.194,1771.622,1770.391,1771.301,178,200,0
2021-11-30 17:19:00+00:00,1771.315,1771.855,1770.849,1771.688,180,200,0
2021-11-30 17:20:00+00:00,1771.675,1772.463,1770.992,1771.495,248,200,0
2021-11-30 17:21:00+00:00,1771.465,1771.465,1770.598,1770.63,193,200,0
2021-11-30 17:22:00+00:00,1770.633,1771.046,1770.495,1770.684,144,200,0
2021-11-30 17:23:00+00:00,1770.653,1770.653,1769.831,1770.517,121,200,0
2021-11-30 17:24:00+00:00,1770.548,1771.903,1770.293,1771.693,187,200,0
2021-11-30 17:25:00+00:00,1771.66,1771.691,1770.579,1770.659,140,200,0
2021-11-30 17:26:00+00:00,1770.644,1771.138,1770.293,1771.064,135,200,0
2021-11-30 17:27:00+00:00,1771.09,1771.764,1770.909,1771.509,108,200,0
2021-11-30 17:28:00+00:00,1771.506,1771.724,1770.955,1771.2,116,200,0
2021-11-30 17:29:00+00:00,1771.205,1772.205,1771.205,1771.762,128,200,0
