time,open,high,low,close,volume,spread,real_volume
2020-05-31 22:05:00+00:00,1734.657,1735.452,1731.393,1731.97,212,672,0
2020-05-31 22:06:00+00:00,1732.162,1735.444,1732.162,1735.237,94,504,0
2020-05-31 22:07:00+00:00,1735.43,1735.474,1734.899,1734.999,104,504,0
2020-05-31 22:08:00+00:00,1734.948,1735.81,1734.948,1735.573,71,504,0
2020-05-31 22:09:00+00:00,1735.654,1736.293,1735.55,1736.293,95,504,0
2020-05-31 22:10:00+00:00,1736.267,1736.426,1735.546,1736.426,129,504,0
2020-05-31 22:11:00+00:00,1736.443,1737.2,1736.162,1736.907,144,504,0
2020-05-31 22:12:00+00:00,1736.917,1737.645,1736.208,1737.296,129,504,0
2020-05-31 22:13:00+00:00,1737.364,1737.795,1737.03,1737.795,99,504,0
2020-05-31 22:14:00+00:00,1737.692,1738.281,1737.251,1738.19,58,504,0
2020-05-31 22:15:00+00:00,1738.315,1738.348,1737.811,1738.128,74,504,0
2020-05-31 22:16:00+00:00,1738.127,1738.129,1736.071,1737.105,98,504,0
2020-05-31 22:17:00+00:00,1737.106,1737.106,1736.115,1736.555,69,504,0
2020-05-31 22:18:00+00:00,1736.658,1736.902,1735.734,1736.902,93,504,0
2020-05-31 22:19:00+00:00,1736.903,1737.513,1736.709,1737.446,50,504,0
2020-05-31 22:20:00+00:00,1737.426,1737.678,1737.02,1737.234,79,504,0
2020-05-31 22:21:00+00:00,1737.224,1737.841,1736.813,1737.8,73,504,0
2020-05-31 22:22:00+00:00,1737.875,1737.995,1736.327,1737.231,85,504,0
2020-05-31 22:23:00+00:00,1737.313,1738.612,1736.786,1738.39,72,504,0
2020-05-31 22:24:00+00:00,1738.492,1738.585,1738.1,1738.1,71,504,0
2020-05-31 22:25:00+00:00,1738.051,1738.613,1737.933,1738.189,67,504,0
2020-05-31 22:26:00+00:00,1738.29,1738.878,1737.618,1738.878,91,504,0
2020-05-31 22:27:00+00:00,1738.841,1739.364,1738.827,1739.039,62,504,0
2020-05-31 22:28:00+00:00,1738.658,1738.658,1737.633,1738.071,43,504,0
2020-05-31 22:29:00+00:00,1738.059,1738.653,1737.906,1738.652,43,504,0
2020-05-31 22:30:00+00:00,1738.624,1739.112,1738.123,1738.267,53,504,0
2020-05-31 22:31:00+00:00,1738.058,1738.827,1738.058,1738.686,51,504,0
2020-05-31 22:32:00+00:00,1738.783,1738.787,1738.498,1738.665,47,504,0
2020-05-31 22:33:00+00:00,1738.662,1738.662,1737.779,1738.231,62,504,0
2020-05-31 22:34:00+00:00,1738.312,1738.499,1738.241,1738.331,43,504,0
2020-05-31 22:35:00+00:00,1738.336,1738.489,1738.073,1738.306,38,504,0
2020-05-31 22:36:00+00:00,1738.303,1738.346,1737.688,1737.902,37,504,0
2020-05-31 22:37:00+00:00,1737.916,1737.973,1737.646,1737.945,35,504,0
2020-05-31 22:38:00+00:00,1737.947,1738.262,1737.849,1738.247,36,504,0
2020-05-31 22:39:00+00:00,1738.242,1738.564,1738.065,1738.562,40,504,0
2020-05-31 22:40:00+00:00,1738.559,1738.711,1738.405,1738.591,35,504,0
2020-05-31 22:41:00+00:00,1738.588,1739.176,1738.465,1739.176,60,504,0
2020-05-31 22:42:00+00:00,1739.071,1739.293,1738.78,1738.992,42,504,0
2020-05-31 22:43:00+00:00,1738.989,1739.049,1738.775,1738.876,23,504,0
