time,open,high,low,close,volume,spread,real_volume
2020-06-30 17:00:00+00:00,1783.478,1783.685,1783.413,1783.553,59,286,0
2020-06-30 17:01:00+00:00,1783.549,1783.829,1783.339,1783.759,74,396,0
2020-06-30 17:02:00+00:00,1783.749,1783.749,1783.533,1783.559,51,286,0
2020-06-30 17:03:00+00:00,1783.573,1783.723,1783.502,1783.708,57,286,0
2020-06-30 17:04:00+00:00,1783.714,1783.836,1783.287,1783.694,66,286,0
2020-06-30 17:05:00+00:00,1783.752,1783.837,1783.643,1783.747,57,286,0
2020-06-30 17:06:00+00:00,1783.759,1784.016,1783.695,1784.016,63,286,0
2020-06-30 17:07:00+00:00,1784.012,1784.09,1783.419,1783.735,68,396,0
2020-06-30 17:08:00+00:00,1783.746,1783.873,1783.397,1783.57,58,286,0
2020-06-30 17:09:00+00:00,1783.577,1783.671,1783.179,1783.285,60,286,0
2020-06-30 17:10:00+00:00,1783.289,1783.494,1782.901,1783.494,75,396,0
2020-06-30 17:11:00+00:00,1783.483,1783.521,1782.79,1783.322,81,396,0
2020-06-30 17:12:00+00:00,1783.337,1783.682,1783.211,1783.604,73,396,0
2020-06-30 17:13:00+00:00,1783.606,1783.797,1783.293,1783.415,62,396,0
2020-06-30 17:14:00+00:00,1783.41,1783.421,1782.378,1782.406,94,396,0
2020-06-30 17:15:00+00:00,1782.416,1783.128,1782.402,1783.128,59,396,0
2020-06-30 17:16:00+00:00,1783.113,1783.527,1783.033,1783.494,65,286,0
2020-06-30 17:17:00+00:00,1783.573,1783.683,1783.422,1783.667,51,396,0
2020-06-30 17:18:00+00:00,1783.668,1783.754,1783.534,1783.652,54,286,0
2020-06-30 17:19:00+00:00,1783.594,1783.81,1783.444,1783.477,58,286,0
2020-06-30 17:20:00+00:00,1783.485,1783.565,1783.21,1783.36,63,286,0
2020-06-30 17:21:00+00:00,1783.355,1783.551,1783.163,1783.28,59,396,0
2020-06-30 17:22:00+00:00,1783.239,1783.595,1782.999,1783.533,71,286,0
2020-06-30 17:23:00+00:00,1783.577,1784.011,1783.525,1783.967,64,286,0
2020-06-30 17:24:00+00:00,1783.967,1784.01,1783.715,1783.778,70,286,0
2020-06-30 17:25:00+00:00,1783.739,1783.739,1783.008,1783.599,68,396,0
2020-06-30 17:26:00+00:00,1783.581,1783.868,1783.39,1783.868,69,286,0
2020-06-30 17:27:00+00:00,1783.905,1784.032,1783.543,1783.88,71,286,0
2020-06-30 17:28:00+00:00,1783.868,1783.961,1783.418,1783.961,71,286,0
2020-06-30 17:29:00+00:00,1783.997,1784.002,1783.212,1783.257,86,396,0
2020-06-30 17:30:00+00:00,1783.217,1783.217,1782.059,1783.13,112,396,0
2020-06-30 17:31:00+00:00,1783.091,1783.091,1782.258,1782.258,70,286,0
2020-06-30 17:32:00+00:00,1782.312,1782.528,1782.053,1782.106,71,286,0
2020-06-30 17:33:00+00:00,1782.069,1782.238,1781.956,1782.13,55,286,0
2020-06-30 17:34:00+00:00,1782.133,1782.314,1782.109,1782.164,53,286,0
2020-06-30 17:35:00+00:00,1782.126,1782.203,1781.973,1782.149,53,396,0
2020-06-30 17:36:00+00:00,1782.136,1782.303,1782.054,1782.054,71,396,0
2020-06-30 17:37:00+00:00,1782.075,1782.308,1780.868,1781.051,108,396,0
2020-06-30 17:38:00+00:00,1780.959,1781.167,1780.762,1781.048,103,396,0
2020-06-30 17:39:00+00:00,1781.013,1781.238,1780.947,1781.216,73,396,0
2020-06-30 17:40:00+00:00,1781.216,1781.554,1781.149,1781.402,74,286,0
2020-06-30 17:41:00+00:00,1781.44,1781.58,1781.274,1781.58,58,396,0
2020-06-30 17:42:00+00:00,1781.588,1781.667,1781.134,1781.223,56,286,0
2020-06-30 17:43:00+00:00,1781.215,1781.32,1781.139,1781.191,48,286,0
2020-06-30 17:44:00+00:00,1781.196,1781.604,1781.161,1781.43,47,286,0
2020-06-30 17:45:00+00:00,1781.408,1781.64,1781.314,1781.353,61,286,0
2020-06-30 17:46:00+00:00,1781.379,1781.519,1781.038,1781.428,58,286,0
2020-06-30 17:47:00+00:00,1781.375,1781.476,1780.979,1781.037,60,396,0
2020-06-30 17:48:00+00:00,1781.018,1781.119,1780.503,1780.581,61,286,0
2020-06-30 17:49:00+00:00,1780.578,1781.312,1780.578,1781.165,67,286,0
2020-06-30 17:50:00+00:00,1781.198,1781.367,1780.931,1781.367,86,396,0
2020-06-30 17:51:00+00:00,1781.414,1781.974,1781.258,1781.28,77,396,0
2020-06-30 17:52:00+00:00,1781.278,1781.454,1781.163,1781.2,62,396,0
2020-06-30 17:53:00+00:00,1781.236,1781.28,1780.76,1780.892,76,396,0
2020-06-30 17:54:00+00:00,1780.894,1780.987,1780.612,1780.96,75,396,0
2020-06-30 17:55:00+00:00,1780.961,1780.998,1780.658,1780.774,54,396,0
2020-06-30 17:56:00+00:00,1780.802,1780.945,1780.647,1780.855,63,286,0
2020-06-30 17:57:00+00:00,1780.818,1780.818,1780.474,1780.511,59,396,0
