time,open,high,low,close,volume,spread,real_volume
2020-03-31 17:00:00+00:00,1597.104,1597.687,1595.678,1595.736,45,1440,0
2020-03-31 17:01:00+00:00,1595.708,1597.317,1595.481,1595.481,54,888,0
2020-03-31 17:02:00+00:00,1595.429,1595.429,1593.211,1594.65,50,1440,0
2020-03-31 17:03:00+00:00,1594.579,1594.766,1593.062,1593.352,45,2334,0
2020-03-31 17:04:00+00:00,1593.321,1594.464,1591.812,1593.651,53,1440,0
2020-03-31 17:05:00+00:00,1593.705,1594.351,1593.222,1593.222,59,888,0
2020-03-31 17:06:00+00:00,1592.936,1593.227,1592.405,1592.666,47,1440,0
2020-03-31 17:07:00+00:00,1592.894,1593.796,1592.894,1593.565,73,712,0
2020-03-31 17:08:00+00:00,1593.487,1593.759,1592.727,1593.403,81,712,0
2020-03-31 17:09:00+00:00,1593.499,1593.687,1593.206,1593.509,74,712,0
2020-03-31 17:10:00+00:00,1593.545,1593.764,1591.246,1591.446,75,888,0
2020-03-31 17:11:00+00:00,1590.74,1592.996,1590.357,1592.787,77,1072,0
2020-03-31 17:12:00+00:00,1592.949,1593.133,1590.489,1592.669,77,888,0
2020-03-31 17:13:00+00:00,1592.726,1592.726,1590.644,1591.596,68,888,0
2020-03-31 17:14:00+00:00,1591.736,1592.573,1589.707,1590.817,71,888,0
2020-03-31 17:15:00+00:00,1590.217,1590.267,1588.188,1590.267,50,1626,0
2020-03-31 17:16:00+00:00,1590.389,1590.763,1588.712,1590.763,65,1072,0
2020-03-31 17:17:00+00:00,1590.753,1591.223,1590.462,1591.223,61,1072,0
2020-03-31 17:18:00+00:00,1591.292,1591.292,1589.871,1590.241,64,888,0
2020-03-31 17:19:00+00:00,1590.065,1591.013,1590.065,1590.959,56,1072,0
2020-03-31 17:20:00+00:00,1590.992,1591.645,1590.703,1591.606,48,1440,0
2020-03-31 17:21:00+00:00,1591.608,1591.909,1591.135,1591.673,47,1440,0
2020-03-31 17:22:00+00:00,1591.565,1592.719,1591.069,1592.687,47,2166,0
2020-03-31 17:23:00+00:00,1592.675,1593.464,1592.522,1593.395,47,1440,0
2020-03-31 17:24:00+00:00,1593.322,1593.681,1593.026,1593.173,48,1072,0
2020-03-31 17:25:00+00:00,1593.402,1593.563,1589.473,1589.684,54,888,0
2020-03-31 17:26:00+00:00,1589.869,1589.937,1587.882,1588.51,53,3306,0
2020-03-31 17:27:00+00:00,1588.695,1590.881,1588.485,1590.102,77,888,0
2020-03-31 17:28:00+00:00,1590.204,1590.539,1584.912,1584.912,58,1072,0
2020-03-31 17:29:00+00:00,1584.902,1587.413,1583.633,1587.413,64,1072,0
2020-03-31 17:30:00+00:00,1587.397,1587.998,1585.915,1587.654,92,1072,0
