time,open,high,low,close,volume,spread,real_volume
2021-08-01 22:05:00+00:00,1814.431,1814.622,1814.354,1814.419,39,300,0
2021-08-01 22:06:00+00:00,1814.406,1814.479,1814.252,1814.457,35,300,0
2021-08-01 22:07:00+00:00,1814.456,1814.511,1814.392,1814.49,22,300,0
2021-08-01 22:08:00+00:00,1814.496,1814.95,1814.475,1814.874,48,300,0
2021-08-01 22:09:00+00:00,1814.883,1814.955,1814.743,1814.743,36,300,0
2021-08-01 22:10:00+00:00,1814.741,1814.741,1814.482,1814.482,32,300,0
2021-08-01 22:11:00+00:00,1814.436,1814.436,1813.797,1813.853,37,300,0
2021-08-01 22:12:00+00:00,1813.869,1813.869,1813.532,1813.548,29,300,0
2021-08-01 22:13:00+00:00,1813.55,1813.856,1813.55,1813.848,21,300,0
2021-08-01 22:14:00+00:00,1813.846,1813.874,1813.727,1813.874,24,300,0
2021-08-01 22:15:00+00:00,1813.873,1813.93,1813.825,1813.93,15,300,0
2021-08-01 22:16:00+00:00,1813.937,1814.134,1813.933,1813.961,29,300,0
2021-08-01 22:17:00+00:00,1813.963,1814.105,1813.833,1813.918,24,300,0
2021-08-01 22:18:00+00:00,1813.954,1814.163,1813.909,1814.163,22,300,0
2021-08-01 22:19:00+00:00,1814.165,1814.165,1814.063,1814.138,19,300,0
2021-08-01 22:20:00+00:00,1814.184,1814.325,1813.836,1813.952,26,300,0
2021-08-01 22:21:00+00:00,1813.987,1814.115,1813.823,1813.823,36,300,0
2021-08-01 22:22:00+00:00,1813.854,1814.123,1813.854,1813.929,29,300,0
2021-08-01 22:23:00+00:00,1813.935,1813.985,1813.934,1813.94,16,300,0
2021-08-01 22:24:00+00:00,1813.942,1814.16,1813.939,1814.109,21,300,0
2021-08-01 22:25:00+00:00,1814.131,1814.131,1813.723,1813.725,30,300,0
2021-08-01 22:26:00+00:00,1813.724,1813.819,1813.724,1813.819,10,300,0
2021-08-01 22:27:00+00:00,1813.811,1813.972,1813.779,1813.904,20,300,0
2021-08-01 22:28:00+00:00,1813.909,1814.247,1813.909,1814.096,30,300,0
2021-08-01 22:29:00+00:00,1814.097,1814.25,1814.097,1814.247,15,300,0
2021-08-01 22:30:00+00:00,1814.199,1814.295,1813.877,1814.024,40,300,0
2021-08-01 22:31:00+00:00,1814.017,1814.017,1813.722,1813.853,25,300,0
2021-08-01 22:32:00+00:00,1813.845,1813.845,1813.769,1813.805,11,300,0
2021-08-01 22:33:00+00:00,1813.797,1813.816,1813.677,1813.677,12,300,0
2021-08-01 22:34:00+00:00,1813.68,1813.682,1813.535,1813.608,19,300,0
2021-08-01 22:35:00+00:00,1813.627,1813.691,1813.587,1813.589,16,300,0
2021-08-01 22:36:00+00:00,1813.598,1813.598,1813.227,1813.324,29,300,0
2021-08-01 22:37:00+00:00,1813.329,1813.588,1813.254,1813.588,29,300,0
2021-08-01 22:38:00+00:00,1813.585,1813.96,1813.585,1813.96,32,300,0
2021-08-01 22:39:00+00:00,1813.969,1814.256,1813.915,1814.227,26,300,0
2021-08-01 22:40:00+00:00,1814.24,1814.24,1813.791,1813.791,32,300,0
2021-08-01 22:41:00+00:00,1813.781,1813.781,1813.601,1813.71,24,300,0
2021-08-01 22:42:00+00:00,1813.684,1813.857,1813.595,1813.823,30,300,0
2021-08-01 22:43:00+00:00,1813.852,1813.918,1813.675,1813.675,28,300,0
2021-08-01 22:44:00+00:00,1813.672,1813.826,1813.672,1813.672,17,300,0
2021-08-01 22:45:00+00:00,1813.646,1813.679,1813.562,1813.57,20,300,0
2021-08-01 22:46:00+00:00,1813.619,1813.658,1813.579,1813.653,12,300,0
2021-08-01 22:47:00+00:00,1813.658,1814.098,1813.658,1814.051,27,300,0
2021-08-01 22:48:00+00:00,1814.049,1814.141,1814.048,1814.05,21,300,0
2021-08-01 22:49:00+00:00,1814.047,1814.056,1814.046,1814.052,8,300,0
2021-08-01 22:50:00+00:00,1814.053,1814.345,1814.041,1814.247,43,300,0
2021-08-01 22:51:00+00:00,1814.202,1814.202,1813.949,1814.068,20,300,0
2021-08-01 22:52:00+00:00,1814.057,1814.215,1814.043,1814.153,27,300,0
2021-08-01 22:53:00+00:00,1814.15,1814.15,1814.005,1814.005,16,300,0
2021-08-01 22:54:00+00:00,1813.959,1814.245,1813.856,1814.245,33,300,0
2021-08-01 22:55:00+00:00,1814.25,1814.253,1814.061,1814.212,18,300,0
2021-08-01 22:56:00+00:00,1814.245,1814.245,1814.06,1814.154,18,300,0
2021-08-01 22:57:00+00:00,1814.146,1814.169,1813.921,1814.037,24,300,0
2021-08-01 22:58:00+00:00,1813.984,1814.032,1813.867,1814.032,15,300,0
2021-08-01 22:59:00+00:00,1814.039,1814.054,1813.977,1814.054,10,300,0
2021-08-01 23:00:00+00:00,1814.057,1814.057,1813.474,1813.686,48,300,0
2021-08-01 23:01:00+00:00,1813.64,1813.64,1813.496,1813.633,24,300,0
2021-08-01 23:02:00+00:00,1813.637,1813.637,1813.494,1813.584,25,300,0
2021-08-01 23:03:00+00:00,1813.587,1813.606,1813.467,1813.583,21,300,0
2021-08-01 23:04:00+00:00,1813.58,1813.612,1813.497,1813.609,13,300,0
2021-08-01 23:05:00+00:00,1813.608,1813.651,1813.505,1813.58,16,300,0
2021-08-01 23:06:00+00:00,1813.578,1813.578,1813.438,1813.444,16,300,0
2021-08-01 23:07:00+00:00,1813.44,1813.598,1813.388,1813.513,20,300,0
2021-08-01 23:08:00+00:00,1813.511,1813.602,1813.508,1813.533,12,300,0
2021-08-01 23:09:00+00:00,1813.511,1813.512,1813.498,1813.504,8,300,0
2021-08-01 23:10:00+00:00,1813.459,1813.544,1813.319,1813.319,24,300,0
2021-08-01 23:11:00+00:00,1813.316,1813.345,1813.293,1813.345,14,300,0
2021-08-01 23:12:00+00:00,1813.352,1813.645,1813.293,1813.627,20,300,0
2021-08-01 23:13:00+00:00,1813.651,1813.703,1813.651,1813.699,10,300,0
2021-08-01 23:14:00+00:00,1813.695,1813.703,1813.631,1813.658,13,300,0
2021-08-01 23:15:00+00:00,1813.655,1813.655,1813.413,1813.413,15,300,0
2021-08-01 23:16:00+00:00,1813.416,1813.416,1813.21,1813.271,22,300,0
2021-08-01 23:17:00+00:00,1813.26,1813.26,1813.109,1813.17,29,300,0
2021-08-01 23:18:00+00:00,1813.172,1813.315,1812.957,1813.089,34,300,0
2021-08-01 23:19:00+00:00,1813.084,1813.112,1812.992,1813.055,23,300,0
2021-08-01 23:20:00+00:00,1813.079,1813.186,1812.928,1812.991,27,300,0
2021-08-01 23:21:00+00:00,1812.984,1813.097,1812.928,1813.076,21,300,0
2021-08-01 23:22:00+00:00,1813.095,1813.095,1812.928,1812.943,15,300,0
2021-08-01 23:23:00+00:00,1812.947,1812.947,1812.789,1812.789,22,300,0
2021-08-01 23:24:00+00:00,1812.823,1812.853,1812.667,1812.853,29,300,0
2021-08-01 23:25:00+00:00,1812.854,1813.143,1812.854,1813.143,15,300,0
2021-08-01 23:26:00+00:00,1813.139,1813.228,1813.054,1813.216,14,300,0
2021-08-01 23:27:00+00:00,1813.21,1813.371,1813.113,1813.358,24,300,0
2021-08-01 23:28:00+00:00,1813.357,1813.357,1813.341,1813.343,10,300,0
2021-08-01 23:29:00+00:00,1813.353,1813.432,1813.133,1813.133,28,300,0
2021-08-01 23:30:00+00:00,1813.088,1813.088,1812.788,1812.788,17,300,0
2021-08-01 23:31:00+00:00,1812.773,1812.773,1812.593,1812.635,16,300,0
2021-08-01 23:32:00+00:00,1812.641,1812.764,1812.565,1812.737,32,300,0
2021-08-01 23:33:00+00:00,1812.764,1812.809,1812.583,1812.605,20,300,0
2021-08-01 23:34:00+00:00,1812.59,1812.653,1812.543,1812.546,17,300,0
2021-08-01 23:35:00+00:00,1812.55,1812.551,1812.535,1812.535,4,300,0
2021-08-01 23:36:00+00:00,1812.536,1812.536,1812.514,1812.519,12,300,0
2021-08-01 23:37:00+00:00,1812.493,1812.562,1812.473,1812.541,22,300,0
2021-08-01 23:38:00+00:00,1812.51,1812.567,1812.237,1812.27,20,300,0
2021-08-01 23:39:00+00:00,1812.28,1812.288,1812.029,1812.117,24,300,0
2021-08-01 23:40:00+00:00,1812.162,1812.202,1812.009,1812.111,25,300,0
2021-08-01 23:41:00+00:00,1812.108,1812.235,1812.033,1812.203,28,300,0
2021-08-01 23:42:00+00:00,1812.248,1812.923,1812.248,1812.642,41,300,0
2021-08-01 23:43:00+00:00,1812.639,1812.788,1812.639,1812.734,24,300,0
2021-08-01 23:44:00+00:00,1812.735,1812.736,1812.679,1812.679,10,300,0
2021-08-01 23:45:00+00:00,1812.654,1812.71,1812.644,1812.651,22,300,0
2021-08-01 23:46:00+00:00,1812.692,1813.088,1812.692,1813.088,31,300,0
2021-08-01 23:47:00+00:00,1813.126,1813.189,1813.094,1813.142,18,300,0
2021-08-01 23:48:00+00:00,1813.141,1813.328,1812.758,1813.328,33,300,0
2021-08-01 23:49:00+00:00,1813.329,1813.329,1812.985,1812.985,23,300,0
2021-08-01 23:50:00+00:00,1812.997,1813.341,1812.997,1813.2,24,300,0
2021-08-01 23:51:00+00:00,1813.201,1813.373,1813.196,1813.373,15,300,0
2021-08-01 23:52:00+00:00,1813.368,1813.703,1813.368,1813.703,29,300,0
2021-08-01 23:53:00+00:00,1813.709,1813.709,1813.509,1813.533,20,300,0
2021-08-01 23:54:00+00:00,1813.518,1813.518,1813.332,1813.332,17,300,0
2021-08-01 23:55:00+00:00,1813.329,1813.536,1813.323,1813.536,19,300,0
2021-08-01 23:56:00+00:00,1813.49,1813.571,1813.365,1813.571,20,300,0
2021-08-01 23:57:00+00:00,1813.573,1813.574,1813.431,1813.522,25,300,0
2021-08-01 23:58:00+00:00,1813.485,1813.612,1813.449,1813.612,18,300,0
2021-08-01 23:59:00+00:00,1813.613,1813.825,1813.555,1813.79,31,300,0
2021-08-02 00:00:00+00:00,1813.796,1813.796,1813.442,1813.625,48,300,0
2021-08-02 00:01:00+00:00,1813.626,1813.629,1813.251,1813.262,35,300,0
2021-08-02 00:02:00+00:00,1813.259,1813.352,1813.005,1813.005,35,300,0
2021-08-02 00:03:00+00:00,1813.05,1813.273,1812.978,1813.039,37,300,0
2021-08-02 00:04:00+00:00,1813.056,1813.743,1813.045,1813.662,47,300,0
2021-08-02 00:05:00+00:00,1813.661,1813.661,1813.186,1813.198,42,300,0
2021-08-02 00:06:00+00:00,1813.2,1813.223,1812.859,1812.862,30,300,0
2021-08-02 00:07:00+00:00,1812.816,1812.853,1812.509,1812.811,46,300,0
2021-08-02 00:08:00+00:00,1812.78,1813.048,1812.78,1813.048,34,300,0
2021-08-02 00:09:00+00:00,1813.002,1813.353,1812.989,1813.353,30,300,0
2021-08-02 00:10:00+00:00,1813.373,1813.422,1813.194,1813.236,36,300,0
2021-08-02 00:11:00+00:00,1813.24,1813.489,1813.159,1813.489,37,300,0
2021-08-02 00:12:00+00:00,1813.486,1813.49,1813.14,1813.14,33,300,0
2021-08-02 00:13:00+00:00,1813.143,1813.203,1812.941,1813.157,30,300,0
2021-08-02 00:14:00+00:00,1813.164,1813.439,1813.164,1813.431,28,300,0
2021-08-02 00:15:00+00:00,1813.433,1813.808,1813.431,1813.764,33,300,0
2021-08-02 00:16:00+00:00,1813.779,1814.182,1813.779,1814.146,32,300,0
2021-08-02 00:17:00+00:00,1814.192,1814.44,1814.1,1814.308,39,300,0
2021-08-02 00:18:00+00:00,1814.305,1814.316,1814.23,1814.316,28,300,0
2021-08-02 00:19:00+00:00,1814.361,1814.491,1814.361,1814.485,39,300,0
2021-08-02 00:20:00+00:00,1814.487,1814.558,1814.241,1814.243,25,300,0
2021-08-02 00:21:00+00:00,1814.242,1814.348,1814.242,1814.346,20,300,0
2021-08-02 00:22:00+00:00,1814.371,1814.439,1814.364,1814.439,15,300,0
2021-08-02 00:23:00+00:00,1814.442,1814.606,1814.442,1814.568,23,300,0
2021-08-02 00:24:00+00:00,1814.571,1814.622,1814.523,1814.57,29,300,0
2021-08-02 00:25:00+00:00,1814.573,1814.682,1814.573,1814.618,19,300,0
2021-08-02 00:26:00+00:00,1814.613,1814.782,1814.611,1814.774,38,300,0
2021-08-02 00:27:00+00:00,1814.772,1814.925,1814.768,1814.922,32,300,0
2021-08-02 00:28:00+00:00,1814.932,1814.971,1814.8,1814.846,30,300,0
2021-08-02 00:29:00+00:00,1814.887,1814.915,1814.721,1814.793,31,300,0
2021-08-02 00:30:00+00:00,1814.805,1814.873,1814.303,1814.408,40,300,0
2021-08-02 00:31:00+00:00,1814.43,1814.678,1814.43,1814.596,27,300,0
2021-08-02 00:32:00+00:00,1814.595,1814.777,1814.505,1814.685,35,300,0
