time,open,high,low,close,volume,spread,real_volume
2023-02-28 17:00:00+00:00,1826.613,1826.72,1826.367,1826.613,89,200,0
2023-02-28 17:01:00+00:00,1826.646,1827.791,1826.632,1827.774,96,200,0
2023-02-28 17:02:00+00:00,1827.78,1828.259,1827.749,1827.998,97,200,0
2023-02-28 17:03:00+00:00,1827.971,1828.298,1827.971,1828.142,84,200,0
2023-02-28 17:04:00+00:00,1828.135,1828.327,1827.987,1828.232,82,200,0
2023-02-28 17:05:00+00:00,1828.265,1828.344,1827.835,1827.92,103,200,0
2023-02-28 17:06:00+00:00,1827.956,1828.482,1827.956,1828.482,102,200,0
2023-02-28 17:07:00+00:00,1828.493,1828.633,1828.195,1828.435,94,200,0
2023-02-28 17:08:00+00:00,1828.45,1828.618,1828.123,1828.2,93,200,0
2023-02-28 17:09:00+00:00,1828.245,1828.56,1828.206,1828.556,77,200,0
2023-02-28 17:10:00+00:00,1828.588,1829.127,1828.588,1828.868,106,200,0
2023-02-28 17:11:00+00:00,1828.86,1828.891,1828.384,1828.645,96,200,0
2023-02-28 17:12:00+00:00,1828.675,1828.86,1828.487,1828.681,90,200,0
2023-02-28 17:13:00+00:00,1828.67,1828.889,1828.662,1828.848,74,200,0
2023-02-28 17:14:00+00:00,1828.878,1828.976,1828.828,1828.849,66,200,0
2023-02-28 17:15:00+00:00,1828.88,1829.529,1828.838,1829.383,82,200,0
2023-02-28 17:16:00+00:00,1829.357,1829.503,1829.163,1829.345,102,200,0
2023-02-28 17:17:00+00:00,1829.346,1829.525,1828.623,1828.623,84,200,0
2023-02-28 17:18:00+00:00,1828.647,1829.049,1828.626,1828.747,97,200,0
2023-02-28 17:19:00+00:00,1828.778,1829.476,1828.778,1829.476,89,200,0
2023-02-28 17:20:00+00:00,1829.49,1829.844,1829.443,1829.443,126,200,0
2023-02-28 17:21:00+00:00,1829.433,1829.549,1828.824,1828.844,120,200,0
2023-02-28 17:22:00+00:00,1828.824,1828.937,1828.43,1828.827,93,200,0
2023-02-28 17:23:00+00:00,1828.826,1829.382,1828.705,1829.085,100,200,0
2023-02-28 17:24:00+00:00,1829.116,1829.47,1829.083,1829.411,99,200,0
2023-02-28 17:25:00+00:00,1829.444,1829.98,1829.444,1829.742,96,200,0
2023-02-28 17:26:00+00:00,1829.732,1830.084,1829.732,1829.923,77,200,0
2023-02-28 17:27:00+00:00,1829.892,1830.452,1829.881,1830.272,93,200,0
2023-02-28 17:28:00+00:00,1830.276,1830.308,1829.921,1830.079,82,200,0
2023-02-28 17:29:00+00:00,1830.11,1830.653,1830.11,1830.333,94,200,0
2023-02-28 17:30:00+00:00,1830.362,1830.737,1830.336,1830.626,91,200,0
2023-02-28 17:31:00+00:00,1830.614,1830.736,1830.062,1830.249,95,200,0
2023-02-28 17:32:00+00:00,1830.282,1830.704,1830.234,1830.605,88,200,0
2023-02-28 17:33:00+00:00,1830.621,1830.807,1830.621,1830.807,59,200,0
