setup,reason,direction,lot,entry_time,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_usd
D,VP_ASIA_VA_REENTRY_ABSORB_BUY,BUY,0.04,2025-01-02T01:00:00+00:00,2629.784,2630.0278898868,2635.0,2025-01-02T02:15:00+00:00,2634.85,TP2,16.263999999999214
D,VP_ASIA_VA_REENTRY_TRAP_SELL,SELL,0.04,2025-01-02T02:30:00+00:00,2633.3289999999997,2633.0780516000777,2627.0,2025-01-02T03:00:00+00:00,2633.228051600078,SL,0.5598967998430453
D,VP_ASIA_VA_REENTRY_TRAP_SELL,SELL,0.04,2025-01-02T03:00:00+00:00,2632.9519999999998,2632.707811328639,2627.0,2025-01-02T03:30:00+00:00,2632.857811328639,SL,-0.2076226572789892
D,VP_ASIA_VA_REENTRY_TRAP_BUY,BUY,0.04,2025-01-02T23:00:00+00:00,2658.251,2658.476816844589,2661.0,2025-01-03T00:15:00+00:00,2660.85,TP2,8.395999999998821
D,VP_ASIA_VA_REENTRY_TRAP_SELL,SELL,0.04,2025-01-03T01:15:00+00:00,2658.652,2658.4164143553317,2658.0,2025-01-03T01:45:00+00:00,2658.5664143553317,SL,-2.824828710663496
D,VP_ASIA_VA_REENTRY_TRAP_BUY,BUY,0.04,2025-01-03T01:45:00+00:00,2659.5640000000003,2657.0034904423674,2661.0,2025-01-03T02:00:00+00:00,2656.8534904423673,SL,-10.842038230532125
D,VP_ASIA_VA_REENTRY_TRAP_BUY,BUY,0.04,2025-01-03T02:00:00+00:00,2659.408,2659.6827653649184,2661.0,2025-01-03T02:30:00+00:00,2659.5327653649183,SL,1.1335307298368207
D,VP_LONDON_VA_TRAP_SELL,SELL,0.04,2025-01-03T07:15:00+00:00,2652.652,2652.395071579463,2652.0,2025-01-03T07:45:00+00:00,2652.545071579463,SL,-2.782143158926374
D,VP_LONDON_VA_TRAP_SELL,SELL,0.04,2025-01-03T07:45:00+00:00,2654.045,2653.7757142700475,2652.0,2025-01-03T08:15:00+00:00,2653.9257142700476,SL,0.028571459904924268
D,VP_LONDON_VA_TRAP_SELL,SELL,0.04,2025-01-03T08:15:00+00:00,2652.461,2652.1917031206017,2652.0,2025-01-03T08:45:00+00:00,2652.341703120602,SL,-3.139406241204597
D,VP_LONDON_VA_TRAP_BUY,BUY,0.04,2025-01-03T08:45:00+00:00,2653.135,2653.4122223092772,2655.0,2025-01-03T09:15:00+00:00,2653.262222309277,SL,1.6844446185532433
D,VP_LONDON_VA_TRAP_SELL,SELL,0.04,2025-01-03T09:15:00+00:00,2653.822,2653.5497843353687,2652.0,2025-01-03T09:45:00+00:00,2653.699784335369,SL,-0.4115686707373243
D,VP_LONDON_VA_TRAP_SELL,SELL,0.04,2025-01-03T09:45:00+00:00,2653.429,2656.227359743008,2652.0,2025-01-03T10:00:00+00:00,2656.377359743008,SL,-11.793438972032163
D,VP_ASIA_VA_REENTRY_TRAP_BUY,BUY,0.04,2025-01-05T23:00:00+00:00,2641.169,2641.381501056834,2644.0,2025-01-05T23:30:00+00:00,2641.231501056834,SL,-0.5129978863315046
D,VP_ASIA_VA_REENTRY_TRAP_BUY,BUY,0.04,2025-01-06T00:45:00+00:00,2643.341,2641.0018521885854,2644.0,2025-01-06T01:00:00+00:00,2640.8518521885853,SL,-9.956591245658274
D,VP_ASIA_VA_REENTRY_TRAP_SELL,SELL,0.04,2025-01-06T01:30:00+00:00,2643.305,2643.046095574882,2640.0,2025-01-06T02:15:00+00:00,2643.1960955748823,SL,4.527808850234578
D,VP_ASIA_VA_REENTRY_TRAP_SELL,SELL,0.04,2025-01-06T02:15:00+00:00,2643.23,2642.980587018774,2640.0,2025-01-06T03:30:00+00:00,2640.15,TP2,10.319999999999709
D,VP_LONDON_VA_TRAP_BUY,BUY,0.04,2025-01-06T08:00:00+00:00,2628.264,2628.55727702192,2634.0,2025-01-06T09:00:00+00:00,2633.85,TP2,18.34399999999914
