direction,lot,entry_time,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_usd
BUY,0.02,2025-01-01T23:30:00+00:00,2621.833,2619.6501220072632,2623.652064993947,2025-01-01T23:45:00+00:00,2623.652064993947,TP,3.63812998789399
SELL,0.01,2025-01-02T02:15:00+00:00,2635.581,2638.4803197432902,2633.1649002139247,2025-01-02T02:30:00+00:00,2633.1649002139247,TP,2.4160997860753923
BUY,0.02,2025-01-02T07:15:00+00:00,2635.664573988225,2633.588834105974,2639.4009057762773,2025-01-02T07:30:00+00:00,2633.588834105974,SL,-4.151479764502255
SELL,0.01,2025-01-03T07:15:00+00:00,2655.3449001624986,2657.925898537512,2650.699103087474,2025-01-03T08:45:00+00:00,2650.699103087474,TP,4.645797075024348
SELL,0.01,2025-01-06T07:30:00+00:00,2629.897753814273,2632.65021567154,2624.9433224711925,2025-01-06T09:00:00+00:00,2632.65021567154,SL,-2.752461857267008
SELL,0.02,2025-01-07T07:15:00+00:00,2639.6377392679933,2641.990346588062,2635.40304609187,2025-01-07T08:00:00+00:00,2641.990346588062,SL,-4.705214640137456
BUY,0.02,2025-01-08T09:00:00+00:00,2654.6721643326327,2652.4705210063094,2658.635122320015,2025-01-08T09:45:00+00:00,2652.4705210063094,SL,-4.403286652646784
BUY,0.01,2025-01-09T10:30:00+00:00,2667.240650552738,2664.5641450253606,2672.058360502017,2025-01-09T11:15:00+00:00,2672.058360502017,TP,4.817709949279106
SELL,0.02,2025-01-10T07:45:00+00:00,2674.0106602630826,2676.234057632259,2670.008544998565,2025-01-10T08:00:00+00:00,2676.234057632259,SL,-4.446794738352764
SELL,0.01,2025-01-13T07:30:00+00:00,2686.6209035531447,2689.3918680217002,2681.633167509745,2025-01-13T08:00:00+00:00,2689.3918680217002,SL,-2.770964468555576
BUY,0.01,2025-01-14T08:15:00+00:00,2671.119523203758,2668.6142911661773,2675.6289408714033,2025-01-14T09:15:00+00:00,2668.6142911661773,SL,-2.505232037580754
BUY,0.02,2025-01-15T07:30:00+00:00,2683.5293930565176,2681.4954624913426,2687.190468073833,2025-01-15T07:45:00+00:00,2681.4954624913426,SL,-4.067861130350138
